season,x,y,made_shot
2003-04,-38,92,1
2003-04,-79,10,0
2003-04,0,0,0
2003-04,-161,79,0
2003-04,-169,-9,0
2003-04,0,0,1
2003-04,-145,169,1
2003-04,-33,202,0
2003-04,-230,-16,0
2003-04,-5,123,1
2003-04,-237,-5,0
2003-04,-103,312,0
2003-04,-172,196,0
2003-04,0,0,0
2003-04,-131,-5,0
2003-04,0,0,1
2003-04,-143,45,0
2003-04,-223,2,0
2003-04,-43,10,1
2003-04,6,-3,1
2003-04,36,13,0
2003-04,1,1,0
2003-04,-41,3,0
2003-04,186,125,1
2003-04,-54,20,0
2003-04,16,0,0
2003-04,-8,20,0
2003-04,3,2,0
2003-04,1,10,1
2003-04,-225,-3,0
2003-04,209,-24,1
2003-04,209,-26,0
2003-04,-8,22,1
2003-04,3,89,0
2003-04,-177,10,1
2003-04,140,112,0
2003-04,0,0,1
2003-04,-95,192,1
2003-04,0,0,0
2003-04,38,58,1
2003-04,-66,17,1
2003-04,121,76,0
2003-04,-74,7,0
2003-04,0,0,1
2003-04,118,176,1
2003-04,100,13,1
2003-04,-195,15,0
2003-04,95,164,0
2003-04,-207,138,0
2003-04,-128,150,0
2003-04,56,28,0
2003-04,-61,238,0
2003-04,-99,15,1
2003-04,-97,54,0
2003-04,204,141,0
2003-04,-118,22,1
2003-04,102,109,0
2003-04,16,51,1
2003-04,238,46,0
2003-04,-28,26,0
2003-04,0,204,1
2003-04,-80,169,0
2003-04,84,-3,0
2003-04,110,87,1
2003-04,10,10,1
2003-04,6,210,0
2003-04,-10,48,0
2003-04,-36,10,0
2003-04,-33,15,1
2003-04,-74,117,0
2003-04,151,13,0
2003-04,-228,138,0
2003-04,-228,133,0
2003-04,-189,12,1
2003-04,67,12,1
2003-04,-59,33,0
2003-04,-75,63,1
2003-04,-85,18,1
2003-04,102,-8,1
2003-04,1,58,0
2003-04,143,61,0
2003-04,0,0,0
2003-04,102,66,0
2003-04,72,133,0
2003-04,184,173,0
2003-04,105,127,1
2003-04,140,43,0
2003-04,103,164,1
2003-04,151,35,0
2003-04,-195,41,1
2003-04,-210,12,0
2003-04,-153,100,0
2003-04,56,261,0
2003-04,16,51,0
2003-04,-36,275,0
2003-04,33,-5,0
2003-04,-99,17,1
2003-04,-64,-3,0
2003-04,23,0,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,95,-18,0
2003-04,-69,-9,0
2003-04,0,0,1
2003-04,46,12,1
2003-04,-220,132,0
2003-04,0,0,0
2003-04,-2,118,0
2003-04,0,0,1
2003-04,112,151,1
2003-04,158,155,0
2003-04,143,-23,0
2003-04,0,0,1
2003-04,-12,31,0
2003-04,-48,-6,1
2003-04,0,0,1
2003-04,-77,71,0
2003-04,-169,3,0
2003-04,0,0,1
2003-04,-36,13,0
2003-04,-25,225,0
2003-04,-161,135,0
2003-04,1,40,0
2003-04,0,0,1
2003-04,-112,-3,0
2003-04,115,141,0
2003-04,-125,-8,1
2003-04,156,114,0
2003-04,-179,174,1
2003-04,-29,23,0
2003-04,-228,-8,0
2003-04,-107,0,0
2003-04,-26,22,1
2003-04,-136,0,0
2003-04,-85,151,0
2003-04,-210,135,0
2003-04,0,0,1
2003-04,0,0,1
2003-04,0,17,0
2003-04,-210,141,1
2003-04,-113,225,0
2003-04,0,0,1
2003-04,0,0,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,-107,184,0
2003-04,-89,33,0
2003-04,-80,191,0
2003-04,0,0,1
2003-04,-80,58,1
2003-04,-205,-13,0
2003-04,92,-11,0
2003-04,-107,227,0
2003-04,0,0,1
2003-04,118,179,0
2003-04,62,46,0
2003-04,0,0,0
2003-04,120,176,1
2003-04,0,0,0
2003-04,0,0,0
2003-04,6,247,1
2003-04,0,0,1
2003-04,235,-6,1
2003-04,0,0,1
2003-04,0,117,1
2003-04,125,222,0
2003-04,0,0,1
2003-04,202,-19,0
2003-04,0,0,1
2003-04,0,0,0
2003-04,158,100,0
2003-04,141,-1,0
2003-04,-5,10,1
2003-04,143,122,0
2003-04,133,130,0
2003-04,-153,18,0
2003-04,1,46,1
2003-04,-218,133,1
2003-04,163,0,0
2003-04,0,5,1
2003-04,1,0,1
2003-04,5,2,1
2003-04,10,18,0
2003-04,-169,143,0
2003-04,232,33,0
2003-04,-3,2,1
2003-04,130,123,0
2003-04,-168,12,0
2003-04,44,45,0
2003-04,144,89,1
2003-04,177,-11,0
2003-04,82,155,0
2003-04,67,-1,0
2003-04,0,3,1
2003-04,0,40,0
2003-04,6,-1,1
2003-04,-3,125,0
2003-04,-154,100,1
2003-04,171,10,1
2003-04,153,35,0
2003-04,235,-24,0
2003-04,-8,23,0
2003-04,-36,2,0
2003-04,-166,138,0
2003-04,-5,5,1
2003-04,-5,40,0
2003-04,0,-1,1
2003-04,46,23,0
2003-04,18,10,0
2003-04,8,49,1
2003-04,-5,-5,0
2003-04,181,77,0
2003-04,-18,10,1
2003-04,1,-11,1
2003-04,0,0,0
2003-04,-149,-23,0
2003-04,235,-13,0
2003-04,82,-19,1
2003-04,146,-18,0
2003-04,0,0,0
2003-04,0,0,1
2003-04,0,0,0
2003-04,190,169,1
2003-04,-149,145,1
2003-04,163,140,0
2003-04,-237,-18,0
2003-04,10,261,0
2003-04,0,0,1
2003-04,-49,48,0
2003-04,0,0,1
2003-04,-126,114,0
2003-04,56,2,1
2003-04,230,31,0
2003-04,0,0,0
2003-04,-163,-5,0
2003-04,-33,122,0
2003-04,-184,-18,0
2003-04,-164,122,0
2003-04,186,189,0
2003-04,-10,2,1
2003-04,-181,171,1
2003-04,149,-24,1
2003-04,-166,-37,0
